Время	T1	T2	T3	T4
2019-12-09T22:41:08	-100	-100	-100	-100
2019-12-09T22:41:18	-100	-100	-100	-100
2019-12-09T22:41:28	-100	-100	-100	-100
2019-12-09T22:41:38	-100	-100	-100	-100
2019-12-09T22:41:48	-100	-100	-100	-100
2019-12-09T22:41:58	-100	-100	-100	-100
2019-12-09T22:42:08	-100	-100	-100	-100
2019-12-09T22:42:18	-100	-100	-100	-100
2019-12-09T22:42:28	-100	-100	-100	-100
2019-12-09T22:42:38	-100	-100	-100	-100
2019-12-09T22:42:48	-100	-100	-100	-100
2019-12-09T22:42:58	-100	-100	-100	-100
2019-12-09T22:43:08	-100	-100	-100	-100
2019-12-09T22:43:18	-100	-100	-100	-100
2019-12-09T22:43:28	-100	-100	-100	-100
2019-12-09T22:43:38	-100	-100	-100	-100
2019-12-09T22:43:48	-100	-100	-100	-100
2019-12-09T22:43:58	-100	-100	-100	-100
2019-12-09T22:44:08	-100	-100	-100	-100
2019-12-09T22:44:18	-100	-100	-100	-100
2019-12-09T22:44:28	-100	-100	-100	-100
2019-12-09T22:44:38	-100	-100	-100	-100
2019-12-09T22:44:54	-100	-100	-100	-100
2019-12-09T22:45:09	-100	-100	-100	-100
2019-12-09T22:45:19	-100	-100	-100	-100
2019-12-09T22:45:34	-100	-100	-100	-100
2019-12-09T22:45:44	-100	-100	-100	-100
2019-12-09T22:45:54	-100	-100	-100	-100
2019-12-09T22:46:04	-100	-100	-100	-100
2019-12-09T22:46:14	-100	-100	-100	-100
2019-12-09T22:46:24	-100	-100	-100	-100
2019-12-09T22:46:34	-100	-100	-100	-100
2019-12-09T22:46:44	-100	-100	-100	-100
2019-12-09T22:46:54	-100	-100	-100	-100
2019-12-09T22:47:04	-100	-100	-100	-100
2019-12-09T22:47:14	-100	-100	-100	-100
2019-12-09T22:47:24	-100	-100	-100	-100
2019-12-09T22:47:34	-100	-100	-100	-100
2019-12-09T22:47:44	-100	-100	-100	-100
2019-12-09T22:47:54	-100	-100	-100	-100
2019-12-09T22:48:04	-100	-100	-100	-100
2019-12-09T22:48:14	-100	-100	-100	-100
2019-12-09T22:48:24	-100	-100	-100	-100
2019-12-09T22:48:34	-100	-100	-100	-100
2019-12-09T22:48:44	-100	-100	-100	-100
2019-12-09T22:48:54	-100	-100	-100	-100
2019-12-09T22:49:04	-100	-100	-100	-100
2019-12-09T22:49:14	-100	-100	-100	-100
2019-12-09T22:49:24	-100	-100	-100	-100
2019-12-09T22:49:34	-100	-100	-100	-100
2019-12-09T22:49:44	-100	-100	-100	-100
2019-12-09T22:49:54	-100	-100	-100	-100
2019-12-09T22:50:04	-100	-100	-100	-100
2019-12-09T22:50:14	-100	-100	-100	-100
2019-12-09T22:50:24	-100	-100	-100	-100
2019-12-09T22:50:34	-100	-100	-100	-100
2019-12-09T22:50:44	-100	-100	-100	-100
2019-12-09T22:50:54	-100	-100	-100	-100
2019-12-09T22:51:04	-100	-100	-100	-100
2019-12-09T22:51:14	-100	-100	-100	-100
2019-12-09T22:51:24	-100	-100	-100	-100
2019-12-09T22:51:34	-100	-100	-100	-100
2019-12-09T22:51:44	-100	-100	-100	-100
2019-12-09T22:51:54	-100	-100	-100	-100
2019-12-09T22:52:04	-100	-100	-100	-100
2019-12-09T22:52:14	-100	-100	-100	-100
2019-12-09T22:52:24	-100	-100	-100	-100
2019-12-09T22:52:34	-100	-100	-100	-100
2019-12-09T22:52:44	-100	-100	-100	-100
2019-12-09T22:52:54	-100	-100	-100	-100
2019-12-09T22:53:04	-100	-100	-100	-100
2019-12-09T22:53:14	-100	-100	-100	-100
2019-12-09T22:53:24	-100	-100	-100	-100
2019-12-09T22:53:34	-100	-100	-100	-100
2019-12-09T22:53:44	-100	-100	-100	-100
2019-12-09T22:53:54	-100	-100	-100	-100
2019-12-09T22:54:04	-100	-100	-100	-100
2019-12-09T22:54:14	-100	-100	-100	-100
2019-12-09T22:54:24	-100	-100	-100	-100
2019-12-09T22:54:34	-100	-100	-100	-100
2019-12-09T22:54:44	-100	-100	-100	-100
2019-12-09T22:54:54	-100	-100	-100	-100
2019-12-09T22:55:04	-100	-100	-100	-100
2019-12-09T22:55:14	-100	-100	-100	-100
2019-12-09T22:55:24	-100	-100	-100	-100
2019-12-09T22:55:34	-100	-100	-100	-100
2019-12-09T22:55:44	-100	-100	-100	-100
2019-12-09T22:55:54	-100	-100	-100	-100
2019-12-09T22:56:04	-100	-100	-100	-100
2019-12-09T22:56:14	-100	-100	-100	-100
2019-12-09T22:56:24	-100	-100	-100	-100
2019-12-09T22:56:34	-100	-100	-100	-100
2019-12-09T22:56:44	-100	-100	-100	-100
2019-12-09T22:56:54	-100	-100	-100	-100
2019-12-09T22:57:04	-100	-100	-100	-100
2019-12-09T22:57:14	-100	-100	-100	-100
2019-12-09T22:57:24	-100	-100	-100	-100
2019-12-09T22:57:34	-100	-100	-100	-100
2019-12-09T22:57:44	-100	-100	-100	-100
2019-12-09T22:57:54	-100	-100	-100	-100
2019-12-09T22:58:04	-100	-100	-100	-100
2019-12-09T22:58:14	-100	-100	-100	-100
2019-12-09T22:58:24	-100	-100	-100	-100
2019-12-09T22:58:34	-100	-100	-100	-100
2019-12-09T22:58:44	-100	-100	-100	-100
2019-12-09T22:58:54	-100	-100	-100	-100
2019-12-09T22:59:04	-100	-100	-100	-100
2019-12-09T22:59:14	-100	-100	-100	-100
2019-12-09T22:59:24	-100	-100	-100	-100
2019-12-09T22:59:34	-100	-100	-100	-100
2019-12-09T22:59:44	-100	-100	-100	-100
2019-12-09T22:59:54	-100	-100	-100	-100
2019-12-09T23:00:04	-100	-100	-100	-100
2019-12-09T23:00:14	-100	-100	-100	-100
2019-12-09T23:00:24	-100	-100	-100	-100
2019-12-09T23:00:34	-100	-100	-100	-100
2019-12-09T23:00:44	-100	-100	-100	-100
2019-12-09T23:00:54	-100	-100	-100	-100
2019-12-09T23:01:04	-100	-100	-100	-100
2019-12-09T23:01:14	-100	-100	-100	-100
2019-12-09T23:01:24	-100	-100	-100	-100
2019-12-09T23:01:34	-100	-100	-100	-100
2019-12-09T23:01:44	-100	-100	-100	-100
2019-12-09T23:01:54	-100	-100	-100	-100
2019-12-09T23:02:04	-100	-100	-100	-100
2019-12-09T23:02:14	-100	-100	-100	-100
2019-12-09T23:02:24	-100	-100	-100	-100
2019-12-09T23:02:34	-100	-100	-100	-100
2019-12-09T23:02:44	-100	-100	-100	-100
2019-12-09T23:02:54	-100	-100	-100	-100
2019-12-09T23:03:04	-100	-100	-100	-100
2019-12-09T23:03:14	-100	-100	-100	-100
2019-12-09T23:03:24	-100	-100	-100	-100
